REM Original from Tank
REM Modded by YS Major
IDENTIFY "Mi-24D_Hind_Iraq"
CATEGORY ATTACKER
AIRCLASS HELICOPTER

AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 4400HP
PROPEFCY 0.65                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid
WEIGHCLN  8.2t                #WEIGHT CLEAN
WEIGFUEL  2.0t                #WEIGHT OF FUEL
WEIGLOAD  1.5t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  1.66m  2.60m  #COCKPIT POSITION
EXCAMERA "FAC" 0m 1m 4m 0deg 0deg 0deg INSIDE
LEFTGEAR -1.62m -0.72m -1.68m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.62m -0.72m -1.68m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.75m 2.51m  #WHEEL POSITION
ARRESTER  0.00m -0.72m -1.68m
MACHNGUN  0.00m -1.61m 6.60m  #MACHINE GUN POSITION
SMOKEGEN  0.00m 0.00m -8.00m  #SMOKE GENERATOR POSITION
VAPORPO0  3.75m 0.70m -2.26m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  3.75m 0.70m -2.26m
HTRADIUS  8.00m                #OUTSIDE SPHERE RADIUS

STRENGTH 10

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 380km/h              #CRITICAL SPEED
MAXSPEED 380km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE               #HAS VARIABLE GEOMETRY WING?

VGWSPED1 25kt
VGWSPED2 50kt

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 50.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 51m^2                 #WING AREA  1m^2 for a helicopter

MXIPTAOA 0.0deg               #MAX INPUT AOA
MXIPTSSA 0.0deg               #MAX INPUT SSA
MXIPTROL 0.0deg               #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 1.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 8.0                  #PITCH STABILITY CONSTANT
CYAWMANE 2.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 5.0                  #YAW STABILITY CONSTANT
CROLLMAN 0.5                  #ROLL MANEUVABILITY CONSTANT

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 8.0m 0.4m       #Thrust vector 0
TRSTDIR1 0.0m 8.0m 0.4m       #Thrust vector 1
PSTMPTCH 40deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 60deg                #Post-Stall Maneuver VYaw
PSTMROLL 80deg                #Post-Stall Maneuver VRoll

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

AGMSLOT_  3.91m 0.22m -1.85m
AGMSLOT_  3.59m 0.22m -1.85m
AGMSLOT_  -3.91m 0.22m -1.85m
AGMSLOT_  -3.59m 0.22m -1.85m
AGMVISIB FALSE

RKTSLOT_  1.95m 0.44m -1.45m
RKTSLOT_  -1.95m -0.44m -1.45m
RKTSLOT_  2.75m 0.24m -1.45m
RKTSLOT_  -2.75m -0.24m -1.45m
RKTSLOT_  1.95m 0.44m -1.45m
RKTSLOT_  -1.95m -0.44m -1.45m
RKTSLOT_  2.75m 0.24m -1.45m
RKTSLOT_  -2.75m -0.24m -1.45m
RKTVISIB FALSE

INITIGUN 0                    #INITIAL GUN
INITIAGM 4                    #INITIAL AGM
INITRCKT 128                  #INITIAL ROCKET (10kg/each)

MAXNMAGM 4

NMTURRET 2
TURRETPO 0 0m 0m 5.67m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 0 -45deg 15deg 5deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -45deg 45deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 1470                                 # Ammo
TURRETIV 0 0.05sec                            # Number ShootingInterval
TURRETNM 0 turr2                           # DNM Node Name
TURRETAR 0 TRUE                                # Anti Air Capable
TURRETGD 0 TRUE                                  # Anti Ground Capable
TURRETCT 0 PILOT                           # Controlled by PILOT or GUNNER
TURRETRG 0 1500m

TURRETPO 1 0m 0m 5.67m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 1 -10deg 10deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 -45deg 45deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 0                              # Ammo
TURRETIV 1 2sec                            # Number ShootingInterval
TURRETNM 1 turr1                         # DNM Node Name
TURRETAR 1 TRUE                                # Anti Air Capable
TURRETGD 1 TRUE                                  # Anti Ground Capable
TURRETCT 1 PILOT                            # Controlled by PILOT or GUNNER
TURRETRG 1 2000m

RADARCRS 1                  #RADAR CROSS SECTION

REFVCRUS 300km/h              #CRUISING SPEED
REFACRUS 3000ft               #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 0kt                 #LANDING SPEED
REFAOALD 0deg                #LANDING AOA
REFLNRWY 100m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0                   #LANDING THROTTLE SETTING

AUTOCALC
