IDENTIFY "100siki-3otu(OCP)"
CATEGORY WW2FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 2500HP                #PROPELLER ENGINE
WEIGHCLN 3.8t                  #WEIGHT CLEAN
WEIGFUEL 1.2t                  #WEIGHT OF FUEL
WEIGLOAD 0.7t                  #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                 #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.3kg                 #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP 0.0m 0.68m 2.13m      #COCKPIT POSITION
INSTPANL user/oranleed/100tei/100tei.ist
LEFTGEAR -1.87m -1.97m 2.27m   #LEFT LANDING GEAR POSITION
RIGHGEAR  1.87m -1.97m 2.27m   #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -0.77m -4.83m   #WHEEL POSITION
MACHNGUN -0.12m 0.29m 4.63m    #MACHINE GUN POSITION
MACHNGN2 0.12m 0.29m 4.63m     #MACHINE GUN POSITION
SMOKEGEN -0.0m 1.41m -14.63m   #SMOKE GENERATOR POSITION
VAPORPO0  7.3m 0.42m 1.46m     #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 -7.3m 0.42m 1.46m     #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS 7.5m                Å@#OUTSIDE SPHERE RADIUS
GUNSIGHT FALSE
GUNINTVL 0.08

STRENGTH 7

CRITAOAP   15deg               #CRITICAL AOA POSITIVE
CRITAOAM  -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 705km/h               #CRITICAL SPEED
MAXSPEED 630km/h               #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                  #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                   #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                   #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.6                   #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                   #EFFECT OF SPOILER FOR Cd

WINGAREA 32m^2                 #WING AREA

MXIPTAOA 18.0deg               #MAX INPUT AOA
MXIPTSSA 5.0deg                #MAX INPUT SSA
MXIPTROL 45.0deg               #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                  #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                 #FULLY MANEUVABLE SPEED
CPITMANE 6.0                   #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 4.0                   #PITCH STABILITY CONSTANT
CYAWMANE 1.5                   #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                   #YAW STABILITY CONSTANT
CROLLMAN 1.5                   #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                  #CONTROL LANDINGGEAR
CTLBRAKE FALSE                 #CONTROL BRAKE
CTLSPOIL 0.0                   #CONTROL SPOILER
CTLABRNR FALSE                 #CONTROL AFTERBURNER
CTLTHROT 0.0                   #CONTROL THRUST
CTLIFLAP 0.0                   #CONTROL FLAP
CTLINVGW 0.0                   #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 0ft 0m             #POSITION
ATTITUDE 45deg 0deg 0deg       #ATTITUDE
INITFUEL 80%                   #INITIAL FUEL
INITLOAD 0.0t                  #INITIAL PAYLOAD
INITSPED 0.0MACH               #INITIAL SPEED
WEAPONCH GUN

GUNPOWER 1
INITIGUN 1800                  #INITIAL GUN
INITIAAM 0                     #INITIAL AAM
INITIAGM 0                     #INITIAL AGM

RADARCRS 0.1

NMTURRET 1
TURRETPO 0 0m 0.94m 0.18m 0deg 55deg 0deg      # Number x y z h p b
TURRETPT 0 -15deg 15deg 0deg                   # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -15deg 15deg 0deg                   # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 1000                                # Ammo
TURRETIV 0 0.1sec                              # Number ShootingInterval
TURRETNM 0 0027                                # DNM Node Name
TURRETAR 0                                     # Anti Air Capable
TURRETCT 0 GUNNER                              # Controlled by PILOT or GUNNER
TURRETRG 0 1000m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 570km/h               #CRUISING SPEED
REFACRUS 13000ft               #CRUISING ALTITUDE
REFTCRUS 0.7                   #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 100kt                 #LANDING SPEED
REFAOALD  9deg                 #LANDING AOA
REFLNRWY 800m                  #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                   #LANDING THROTTLE SETTING

AUTOCALC
