IDENTIFY "RF101H Voodoo"
CATEGORY UTILITY
AFTBURNR TRUE                   #HAVE AFTERBURNER?
THRAFTBN  7.69t                 #THRUST WITH AFTERBURNER
THRMILIT  5.31t                 #THRUST AT MILITARY POWER
WEIGHCLN 13.14t                 #WEIGHT CLEAN
WEIGFUEL  4.0t                  #WEIGHT OF FUEL
WEIGLOAD  3.4t                  #WEIGHT OF PAYLOAD
FUELABRN 4.5kg                  #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.5kg                  #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.08m  4.51m    #COCKPIT POSITION
LEFTGEAR -2.83m -1.90m -2.14m   #LEFT LANDING GEAR POSITION
RIGHGEAR  2.83m -1.90m -2.14m   #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.81m  4.40m    #WHEEL POSITION
SMOKEGEN -0.0m  0.65m -1.30m    #SMOKE GENERATOR POSITION
VAPORPO0  6.06m -0.30m -4.81m   #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.06m -0.30m -4.81m   #VAPOR POSITION (Wings Spread)
HTRADIUS  11.0m                 #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.85MACH             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.15                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 34.19m^2             #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 3.0deg               #MAX INPUT SSA
MXIPTROL 240.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 7.5                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft -1.8m         #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITRCKT 0
INITBOMB 0

BOMVISIB FALSE
AAMVISIB FALSE

AAMSLOT_ 0.45m -1.15m -2.49m
AAMSLOT_ -0.45m -1.15m -2.49m

BOMBSLOT 0m -0.45m -2.45m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.86MACH              #CRUISING SPEED
REFACRUS 20000ft               #CRUISING ALTITUDE
REFTCRUS 0.8                   #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                 #LANDING SPEED
REFAOALD 13deg                 #LANDING AOA
REFLNRWY 1000m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                   #LANDING THROTTLE SETTING

AUTOCALC
