IDENTIFY "MIG-25_Foxbat"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 22.4t                #THRUST WITH AFTERBURNER
THRMILIT 15.0t                #THRUST AT MILITARY POWER
WEIGHCLN 19.7t                #WEIGHT CLEAN
WEIGFUEL 14.5t                #WEIGHT OF FUEL
WEIGLOAD 6.8t                #WEIGHT OF PAYLOAD
FUELABRN 10.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 5.0kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.30m   6.84m  #COCKPIT POSITION
LEFTGEAR -2.13m -1.90m -0.47m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.13m -1.90m -0.47m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.96m  4.81m  #WHEEL POSITION
MACHNGUN  1.66m 0.45m  3.45m     #MACHINE GUN POSITION
MACHNGN2  1.66m 0.0m  3.45m     #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN  -0.77m -0.70m -2.31m  #SMOKE GENERATOR POSITION
VAPORPO0  6.91m  0.40m -4.41m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.91m  0.40m -4.41m  #VAPOR POSITION (Wings Spread)
HTRADIUS  12.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 15

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.95MACH              #CRITICAL SPEED
MAXSPEED 2.83MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 61.4m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 3.0deg               #MAX INPUT SSA
MXIPTROL 160.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 7.8                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.3                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 500kt
VGWSPED2 800kt

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 99%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 1 


HRDPOINT -3.48m 0.06m 0.0m AIM120 
HRDPOINT 3.48m 0.06m 0.0m AIM120
HRDPOINT -4.67m -0.04m -1.0m AIM120 
HRDPOINT 4.67m -0.04m -1.0m AIM120
HRDPOINT -5.04m -0.08m -0.1m AIM9 
HRDPOINT 5.04m -0.08m -0.1m AIM9 
HRDPOINT -4.67m -0.35m -0.1m AIM9
HRDPOINT 4.67m -0.35m -0.1m AIM9
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 0                         #INITIAL GUN
LOADWEPN AIM120 2                  #INITIAL AAM
LOADWEPN AIM9 4                    #INITIAL AAM



REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.3MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 13deg                #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.40                  #LANDING THROTTLE SETTING

AUTOCALC
