IDENTIFY "Bf109-G10"
CATEGORY WW2FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 2000HP                #PROPELLER ENGINE
WEIGHCLN  2.6t                 #WEIGHT CLEAN
WEIGFUEL  0.5t                 #WEIGHT OF FUEL
WEIGLOAD  1.0t                 #WEIGHT OF PAYLOAD
FUELMILI 0.2kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.62m -1.20m  #COCKPIT POSITION
INSTPANL user/oranleed/bf109/bf109.ist
LEFTGEAR -0.66m -1.84m  0.32m  #LEFT LANDING GEAR POSITION
RIGHGEAR  0.66m -1.84m  0.32m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.21m -5.39m  #WHEEL POSITION
MACHNGUN  0.14m  0.42m  0.77m  #MACHINE GUN POSITION
MACHNGN2 -0.14m  0.42m  0.77m  #MACHINE GUN POSITION
MACHNGN3  0.00m -0.13m  2.51m
SMOKEGEN  0.00m  0.00m -5.00m  #SMOKE GENERATOR POSITION
VAPORPO0  4.96m  0.01m  -0.46m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.96m  0.01m  -0.46m #VAPOR POSITION (Wings Spread)
HTRADIUS  6.50m                #OUTSIDE SPHERE RADIUS
GUNSIGHT FALSE
GUNINTVL 0.08
TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 9

CRITAOAP  15deg                #CRITICAL AOA POSITIVE
CRITAOAM -10deg                #CRITICAL AOA NEGATIVE

CRITSPED 720km/h               #CRITICAL SPEED
MAXSPEED 690km/h               #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                  #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?
VGWSPED1 0kt                   #VARIABLE GEOMETRY WING SPEED
VGWSPED2 1kt                   #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.5                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                   #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                   #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.7                   #EFFECT OF GEAR FOR Cd
CDSPOILR 1.8                   #EFFECT OF SPOILER FOR Cd

WINGAREA 16.05m^2              #WING AREA

MXIPTAOA 18.0deg               #MAX INPUT AOA
MXIPTSSA 5.0deg                #MAX INPUT SSA
MXIPTROL 85.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 45kt                  #MINIMUM MANEUVABLE SPEED
MANESPD2 70kt                  #FULLY MANEUVABLE SPEED
CPITMANE 7.0                   #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                   #PITCH STABILITY CONSTANT
CYAWMANE 5.0                   #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                   #YAW STABILITY CONSTANT
CROLLMAN 3.0                   #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                  #CONTROL LANDINGGEAR
CTLBRAKE FALSE                 #CONTROL BRAKE
CTLSPOIL 0.0                   #CONTROL SPOILER
CTLABRNR FALSE                 #CONTROL AFTERBURNER
CTLTHROT 0.0                   #CONTROL THRUST
CTLIFLAP 0.0                   #CONTROL FLAP
CTLINVGW 0.0                   #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m             #POSITION
ATTITUDE 45deg 0deg 0deg       #ATTITUDE
INITFUEL 75%                   #INITIAL FUEL
INITLOAD 0.0t                  #INITIAL PAYLOAD
INITSPED 0.0MACH               #INITIAL SPEED
WEAPONCH GUN

INITIGUN 2000                  #INITIAL GUN
INITIAAM 0                     #INITIAL AAM
INITIAGM 0                     #INITIAL AGM
INITBOMB 0                     #INITIAL BOMB
INITRCKT 0                     #INITIAL ROCKET (10kg/each)
MAXNBOMB 0                     #MAX BOMB

RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 640km/h               #CRUISING SPEED(*1.2
REFACRUS 13000ft               #CRUISING ALTITUDE
REFTCRUS 0.8                   #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 86kt                  #LANDING SPEED
REFAOALD 8deg                  #LANDING AOA
REFLNRWY 500m                  #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                   #LANDING THROTTLE SETTING

AUTOCALC
