IDENTIFY "J29F Tunnan"
CATEGORY FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
THRAFTBN  0.0t                 #THRUST WITH AFTERBURNER
THRMILIT  2.80t                #THRUST AT MILITARY POWER
WEIGHCLN  4.3t                 #WEIGHT CLEAN
WEIGFUEL  2.1t                 #WEIGHT OF FUEL
WEIGLOAD  2.0t                 #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                 #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP   0.0m  1.07m  1.30m  #COCKPIT POSITION
LEFTGEAR -0.90m -1.12m -0.78m  #LEFT LANDING GEAR POSITION
RIGHGEAR  0.90m -1.12m -0.78m  #RIGHT LANDING GEAR POSITION
WHELGEAR   0.0m -1.24m  2.93m  #WHEEL POSITION
ARRESTER   0.0m -1.95m -3.12m  #Arresting hook
MACHNGUN -0.40m -0.34m  3.02m  #MACHINE GUN POSITION
MACHNGN2  0.40m -0.34m  3.02m  #MACHINE GUN POSITION
MACHNGN3 -0.28m -0.46m  2.86m
MACHNGN4  0.28m -0.46m  2.86m
GUNINTVL 0.05
SMOKEGEN  0.11m  0.04m -6.00m  #SMOKE GENERATOR POSITION
VAPORPO0  5.05m  0.48m -2.75m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.05m  0.48m -2.75m  #VAPOR POSITION (Wings Spread)
HTRADIUS 9.0m                  #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.7MACH              #CRITICAL SPEED
MAXSPEED 1060km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?
VGWSPED1 -1kt                 #VARIABLE GEOMETRY WING SPEED
VGWSPED2 -1kt                 #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 23.0m^2              #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 150.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 110kt                #FULLY MANEUVABLE SPEED
CPITMANE 7.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.5                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED


HRDPOINT 1.485m 0.1m -0.06m AIM9
HRDPOINT -2.165m 0.1m -0.6m AGM65 B250
HRDPOINT 2.165m 0.1m -0.6m AGM65 B250
HRDPOINT -1.485m 0.1m -0.06m AIM9
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 2000                 #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 2                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
INITRCKT 0                    #INITIAL ROCKET
MAXNBOMB 2

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.7MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 125kt                #LANDING SPEED
REFAOALD  11deg                #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.35                  #LANDING THROTTLE SETTING

AUTOCALC
