REM ju87
IDENTIFY "ju87g"
CATEGORY WW2ATTACKER
AFTBURNR FALSE                   #HAVE AFTERBURNER?
PROPELLR 1410HP                  #PROPELLER ENGINE
WEIGHCLN  4.1t                  #WEIGHT CLEAN
WEIGFUEL  0.5t                   #WEIGHT OF FUEL
WEIGLOAD  0.8t                   #WEIGHT OF PAYLOAD
FUELMILI 0.1kg                   #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.82m -0.60m    #COCKPIT POSITION
INSTPANL user/oranleed/ju87/ju87.ist
LEFTGEAR -1.37m -2.10m  0.46m    #LEFT LANDING GEAR POSITION
RIGHGEAR  1.37m -2.10m  0.46m    #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.74m -6.45m    #WHEEL POSITION
MACHNGUN  1.88m -1.03m  2.35m    #MACHINE GUN POSITION
MACHNGN2 -1.88m -1.03m  2.35m    #MACHINE2 GUN POSITION
SMOKEGEN  0.0m   0.00m -5.40m    #SMOKE GENERATOR POSITION
VAPORPO0 -6.88m  0.31m -0.21m    #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.88m  0.31m -0.21m    #VAPOR POSITION (Wings Spread)
HTRADIUS  7.0m                   #OUTSIDE SPHERE RADIUS
GUNINTVL 0.3

GUNSIGHT FALSE

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 11

CRITAOAP 15deg                   #CRITICAL AOA POSITIVE
CRITAOAM -10deg                  #CRITICAL AOA NEGATIVE

CRITSPED 420km/h                 #CRITICAL SPEED
MAXSPEED 410km/h                 #MAXIMUM SPEED

HASSPOIL TRUE                    #HAS SPOILER?
RETRGEAR FALSE                    #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                   #HAS VARIABLE GEOMETRY WING?
  
VGWSPED1 170kt
VGWSPED2 190kt


CLVARGEO 0.0                     #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                     #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                     #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                     #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                     #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                     #EFFECT OF SPOILER FOR Cd

WINGAREA 31.9m^2                 #WING AREA

MXIPTAOA 18.0deg                 #MAX INPUT AOA
MXIPTSSA 8.0deg                  #MAX INPUT SSA
MXIPTROL 60.0deg                 #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 35kt                    #MINIMUM MANEUVABLE SPEED
MANESPD2 70kt                    #FULLY MANEUVABLE SPEED
CPITMANE 6.0                     #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                     #PITCH STABILITY CONSTANT
CYAWMANE 5.0                     #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                     #YAW STABILITY CONSTANT
CROLLMAN 3.0                     #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                   #CONTROL LANDINGGEAR
CTLBRAKE FALSE                   #CONTROL BRAKE
CTLSPOIL 0.0                     #CONTROL SPOILER
CTLABRNR FALSE                   #CONTROL AFTERBURNER
CTLTHROT 0.0                     #CONTROL THRUST
CTLIFLAP 0.0                     #CONTROL FLAP
CTLINVGW 0.0                     #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                   #CONTROL AUTO VARIABLE GEOMETRY WING



POSITION 0m 3ft 0m               #POSITION
ATTITUDE 45deg 15deg 0deg        #ATTITUDE
INITFUEL 75%                     #INITIAL FUEL
INITLOAD 0.0t                    #INITIAL PAYLOAD
INITSPED 0.0MACH                 #INITIAL SPEED
WEAPONCH GUN

HRDPOINT  0.00m -0.85m  0.00m B500
HRDPOINT -3.74m -0.42m -0.30m B250
HRDPOINT  3.74m -0.42m -0.40m B250
HRDPOINT -4.10m -0.36m -0.30m B250
HRDPOINT  4.10m -0.36m -0.40m B250

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 1000                    #INITIAL GUN
INITIAAM 0                       #INITIAL AAM
INITIAGM 0                       #INITIAL AGM
INITBOMB 1                       #INITIAL BOM
MAXNBOMB 5
GUNPOWER 3

NMTURRET 1
TURRETPO 0 0m 0.59m -2.27m 180deg 22deg 0deg      # Number x y z h p b
TURRETPT 0 -22deg 38deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -25deg 25deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 2000                              # Ammo
TURRETIV 0 0.15sec                            # Number ShootingInterval
TURRETNM 0 0012                           # DNM Node Name
TURRETAR 0                                   # Anti Air Capable
TURRETCT 0 GUNNER                            # Controlled by PILOT or GUNNER
TURRETRG 0 1200m

RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 382km/h                 #CRUISING SPEED(*1.2
REFACRUS 10000ft                 #CRUISING ALTITUDE
REFTCRUS 0.8                     #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 85kt                    #LANDING SPEED
REFAOALD 8deg                    #LANDING AOA
REFLNRWY 500m                    #RUNWAY REQUIRED TO STOP
REFTHRLD 0.45                    #LANDING THROTTLE SETTING

AUTOCALC
