REM 
REM :::: Masa-AT Presents MiG-21F-13 Fishbed-C ::::
REM 
IDENTIFY "MIG-21(FINAF)_FISHBED_C"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  6.33t                #THRUST WITH AFTERBURNER
THRMILIT  4.3t                #THRUST AT MILITARY POWER
WEIGHCLN  4.6t                #WEIGHT CLEAN
WEIGFUEL  2.5t                #WEIGHT OF FUEL
WEIGLOAD  2.5t                #WEIGHT OF PAYLOAD
FUELABRN 4.81kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.39kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.83m  2.76m  #COCKPIT POSITION
LEFTGEAR -1.2m -1.56m -0.70m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.2m -1.56m -0.70m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.61m  3.75m  #WHEEL POSITION
ARRESTER  0.0m -1.14m -5.88m
MACHNGUN  0.52m  -0.39m  2.31m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN -0.0m  0.40m -6.65m  #SMOKE GENERATOR POSITION
VAPORPO0  3.5m  0.00m -3.25m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  3.5m  0.00m -3.25m  #VAPOR POSITION (Wings Spread)
HTRADIUS  9.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  21deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 880km/h              #CRITICAL SPEED
MAXSPEED 2314km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 23.5m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 3.5deg               #MAX INPUT SSA
MXIPTROL 210.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 8                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 1
INITIGUN 2000                 #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITBOMB 0                    #INITIAL AGM

AAMSLOT_ 1.975m -0.4m -1.15m
AAMSLOT_ -1.975m -0.4m -1.15m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 880km/h              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 135kt                #LANDING SPEED
REFAOALD 14deg                #LANDING AOA
REFLNRWY 1600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
