REM MIG-23 FLOGGER
IDENTIFY "MIG-23K_FLOGGER"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  11.5t                #THRUST WITH AFTERBURNER
THRMILIT  7.9t                #THRUST AT MILITARY POWER
WEIGHCLN  10.0t                #WEIGHT CLEAN
WEIGFUEL  5.0t                #WEIGHT OF FUEL
WEIGLOAD  8.0t                #WEIGHT OF PAYLOAD
FUELABRN 6.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.67m   4.75m  #COCKPIT POSITION
LEFTGEAR -1.71m -1.88m -0.55m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.71m -1.88m -0.55m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.04m  5.18m  #WHEEL POSITION
MACHNGUN  0.07m -0.71m  3.97m  #MACHINE GUN POSITION
MACHNGN2 -0.07m -0.71m  3.97m
GUNINTVL 0.04
SMOKEGEN -0.0m -0.15m -7.20m  #SMOKE GENERATOR POSITION
VAPORPO0  3.93m  0.34m -5.10m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  7.3m  0.34m -2m  #VAPOR POSITION (Wings Spread)
HTRADIUS  10.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 9

CRITAOAP  21deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.3MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.6                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 1.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 35m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 240.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

VGWSPED1 200kt
VGWSPED2 550kt


MANESPD1 40kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 90kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED



HRDPOINT -1.34m -0.2m 0.82m AIM120 AGM65 B500
HRDPOINT 1.34m -0.2m 0.82m AIM120 AGM65 B500
HRDPOINT -0.4m -1m 1.7m AIM9
HRDPOINT 0.4m -1m 1.7m AIM9
HRDPOINT 0m -1.08m 0.24m B500 AGM65 RKT
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

GUNPOWER 1
INITIGUN 2000                 #INITIAL GUN
LOADWEPN AIM120 2                    #INITIAL AAM
LOADWEPN AIM9 2                    #INITIAL AGM
MAXNMRKT 24



REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.7                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 130kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
