REM rafale M prototype
IDENTIFY "Rafale M prototype"
CATEGORY UTILITY
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 15.4t                #THRUST WITH AFTERBURNER
THRMILIT  10.2t                #THRUST AT MILITARY POWER
WEIGHCLN  9.5t                #WEIGHT CLEAN
WEIGFUEL  4.7t                #WEIGHT OF FUEL
WEIGLOAD  10.3t                #WEIGHT OF PAYLOAD
FUELABRN 6.6kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.8kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.95m  4.92m  #COCKPIT POSITION
LEFTGEAR -1.50m -1.98m -0.49m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.50m -1.98m -0.49m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -2.33m  4.99m  #WHEEL POSITION
ARRESTER  0.0m -1.50m -3.85m  #Arresting hook
MACHNGUN  0.23m -0.19m  1.93m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN  0.00m  -1.21m -1.40m  #SMOKE GENERATOR POSITION
VAPORPO0 -5.40m -0.28m -3.84m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 -5.40m -0.28m -3.84m  #VAPOR POSITION (Wings Spread)
HTRADIUS 10m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.97MACH              #CRITICAL SPEED
MAXSPEED 1.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                #HAS VARIABLE GEOMETRY WING?

VGWSPED1 180kt
VGWSPED2 350kt

CLVARGEO 0.1                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.1                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.1                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 1.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 45.7m^2                #WING AREA

MXIPTAOA 25.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                 #FULLY MANEUVABLE SPEED
CPITMANE 9.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
RADARCRS 0.7

GUNPOWER 1

HRDPOINT 5.49m -0.33m -2.1m AIM9 
HRDPOINT -5.49m -0.33m -2.1m AIM9 
HRDPOINT -1.41m -0.66m -1.4m AIM120 
HRDPOINT 1.41m -0.66m -1.4m AIM120 

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 0                 #INITIAL GUN
LOADWEPN AIM120 0
LOADWEPN AIM9 0

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.97MACH             #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.7                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                #LANDING SPEED
REFAOALD 12deg                 #LANDING AOA
REFLNRWY 450m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                 #LANDING THROTTLE SETTING

AUTOCALC
