REM Su9
IDENTIFY "Su9 fishpot"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 11.3t                #THRUST WITH AFTERBURNER
THRMILIT  7.53t                #THRUST AT MILITARY POWER
WEIGHCLN 8.0t                #WEIGHT CLEANmm
WEIGFUEL  3.0t                #WEIGHT OF FUEL
WEIGLOAD  1.5t                #WEIGHT OF PAYLOAD
FUELABRN 5.2kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.5kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.82m  4.69m  #COCKPIT POSITION
LEFTGEAR -2.42m -1.94m -1.03m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.42m -1.94m -1.03m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.86m  4.35m  #WHEEL POSITION
MACHNGUN  -0.28m -1.06m  2.60m  #MACHINE GUN POSITION
MACHNGN2  0.28m -1.06m  2.60m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN -0.0m -0.75m -5.70m  #SMOKE GENERATOR POSITION
VAPORPO0  4.10m  -0.30m -3.44m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.10m  -0.30m -3.44m  #VAPOR POSITION (Wings Spread)
HTRADIUS  10.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 10

CRITAOAP  21deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 33.8m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 3.0deg               #MAX INPUT SSA
MXIPTROL 270.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.5                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 1
INITIGUN 2000                 #INITIAL GUN
INITIAAM 4                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0
INITRCKT 0
MAXNMRKT 0
MAXNMAAM 4
MAXNMAGM 0
MAXNBOMB 0

AAMSLOT_ 2.28m -0.63m 1.57m  #2.28 -0.53 -0.87
AAMSLOT_ -2.28m -0.63m 1.57m
AAMSLOT_ 3.23m -0.69m -0.51m  #3.23 -0.59 -0.81
AAMSLOT_ -3.23m -0.69m -0.51m


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 137kt                #LANDING SPEED
REFAOALD 14deg                #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
