REM Type96 Carrier-Based Fighter
IDENTIFY "Type96_Fighter"
CATEGORY FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 610HP              #PROPELLER ENGINE
WEIGHCLN  1.23t                #WEIGHT CLEAN
WEIGFUEL  0.32t                #WEIGHT OF FUEL
WEIGLOAD  0.3t                #WEIGHT OF PAYLOAD
FUELMILI 0.04kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.67m  0.39m  #COCKPIT POSITION
LEFTGEAR -1.53m -1.70m  1.53m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.53m -1.70m  1.53m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.30m -4.9m  #WHEEL POSITION
ARRESTER  0.0m -0.25m -4.9m #Arresting hook position
SMOKEGEN  0.00m  0.00m -4.9m  #SMOKE GENERATOR POSITION
VAPORPO0  5.55m  0.11m  1.07m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.55m  0.11m  1.07m  #VAPOR POSITION (Wings Spread)
HTRADIUS  5m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 GUN
TRIGGER3 SMK
TRIGGER4 SMK

STRENGTH 4

CRITAOAP  22.5deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 380km/h              #CRITICAL SPEED
MAXSPEED 425km/h             #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR FALSE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 33.7m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 140.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 25kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 35kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
WEAPONCH GUN

INITIGUN 2000                  #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

RADARCRS 0.001
REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 425km/h              #CRUISING SPEED(*1.2
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 60kt                 #LANDING SPEED
REFAOALD 5deg                #LANDING AOA
REFLNRWY 500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

MACHNGUN -0.24m 0.37m 6.5m  #MACHINE GUN POSITION
MACHNGN2  0.24m 0.37m 6.5m  #MACHINE GUN POSITION

AUTOCALC
