REM Russian I-16
IDENTIFY "I-16_Green"
CATEGORY WW2FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 1100HP              #PROPELLER ENGINE
WEIGHCLN  1.475t                #WEIGHT CLEAN
WEIGFUEL  0.41t                #WEIGHT OF FUEL
WEIGLOAD  0.52t                #WEIGHT OF PAYLOAD
FUELMILI 0.06kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.72m  -0.53m  #COCKPIT POSITION
LEFTGEAR -1.165m -1.71m  1.125m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.165m -1.71m  1.125m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.405m -2.98m  #WHEEL POSITION
SMOKEGEN  0.00m  -0.12m -2.815m  #SMOKE GENERATOR POSITION
VAPORPO0  4.445m  -0.245m  0.695m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.445m  -0.245m  0.695m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8m                #OUTSIDE SPHERE RADIUS

MACHNGUN  1.45m -0.435m  1.675m  #MACHINE GUN POSITION
MACHNGN2 -1.45m -0.435m  1.675m  #MACHINE GUN POSITION

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 322km/h              #CRITICAL SPEED
MAXSPEED 534km/h             #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 14.87m^2                #WING AREA

MXIPTAOA 22.0deg              #MAX INPUT AOA
MXIPTSSA 4.0deg               #MAX INPUT SSA
MXIPTROL 55.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 40kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 55kt                 #FULLY MANEUVABLE SPEED
CPITMANE 6.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.7                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.4                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 2000                  #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0

MAXNBOMB 2
BOMBSLOT  2.315m -0.69m 0.805m
BOMBSLOT -2.315m -0.69m 0.805m

RADARCRS 0.001
REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 525km/h              #CRUISING SPEED(*1.2
REFACRUS 3000m              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 80kt                 #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 592m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.48                  #LANDING THROTTLE SETTING

AUTOCALC
