REM Tu154M

IDENTIFY "Tu154M Balkan Holidays"
CATEGORY NORMAL
AFTBURNR FALSE              #HAVE AFTERBURNER?
THRAFTBN 0.00t              #THRUST WITH AFTERBURNER
THRMILIT 31.5t             #THRUST AT MILITARY POWER
WEIGHCLN 54.8t            #WEIGHT CLEAN
WEIGFUEL 39.5t              #WEIGHT OF FUEL
WEIGLOAD 18.0t              #WEIGHT OF PAYLOAD
FUELABRN 0.00kg             #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 4.12kg             #FUEL CONSUMPTION AT MILITARY POWER
THRSTREV 0.6		    #RATIO OF THURUST REVERSE(+AUTO SPOILER)

COCKPITP -0.58m  0.79m 20.34m    #COCKPIT POSITION
INSTPANL  user/hangar/Tu154M/Tu154M17.ist    #FOR 17INCH DESPLAY USER
REM INSTPANL  user/hangar/Tu154M/Tu154M15.ist  #FOR 15INCH DESPLAY USER
LEFTGEAR -6.16m -4.16m -4.02m    #LEFT LANDING GEAR POSITION
RIGHGEAR  6.16m -4.16m -4.02m    #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -4.04m 16.14m    #WHEEL POSITION
MACHNGUN  0.0m   0.00m  0.00m    #MACHINE GUN POSITION
SMOKEGEN 0m -2.18m -8.52m    #SMOKE GENERATOR POSITION
VAPORPO0 -18.8m -1.26m -10.35m   #VAPOR POSITION (Wings Swept back)
VAPORPO1 -18.8m -1.26m -10.35m   #VAPOR POSITION (Wings Spread)
HTRADIUS 25.0m                   #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 25

CRITAOAP 20deg                #CRITICAL AOA POSITIVE
CRITAOAM -15deg                #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH             #CRITICAL SPEED
MAXSPEED 0.9MACH             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?

TRSTVCTR FALSE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m -1.0m 0.0m      #Thrust vector 0
TRSTDIR1 0.0m 0.0m 1.0m       #Thrust vector 1
PSTMPTCH 0deg                 #Post-Stall Maneuver VPitch
PSTMYAW_ 0deg                 #Post-Stall Maneuver VYaw
PSTMROLL 0deg                 #Post-Stall Maneuver VRoll

CLVARGEO 0.0               #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0               #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.3                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 202m^2             #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA  5.0deg              #MAX INPUT SSA
MXIPTROL  30deg               #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 140kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 9.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                 #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING



POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 10.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

WEAPONCH SMK
SMOKEOIL 1kg

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
MAXNMAGM 0                    #MINIMUM AGM
MAXNBOMB 0                    #MINIMUM BOM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB

RADARCRS 1.0                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 950km/h             #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 160kt                #LANDING SPEED
REFAOALD 8.0deg               #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING


AUTOCALC
