IDENTIFY "Yakovlev_Yak-9U"
CATEGORY WW2FIGHTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 1500HP               #PROPELLER ENGINE
WEIGHCLN  2.35t                #WEIGHT CLEAN
WEIGFUEL  0.3t                #WEIGHT OF FUEL
WEIGLOAD  0.2t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.06kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP 0m  0.62m  -1.015m  #COCKPIT POSITION
INSTPANL user/Hangar/Yak-9U/Yak-9U.ist
LEFTGEAR -1.72m -1.75m  0.77m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.72m -1.75m  0.77m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -0.68m -4.27m  #WHEEL POSITION
ARRESTER  0.0m -0.40m -4.20m

REM 12.7mm x 2
MACHNGUN -0.245m 0.33m  2.02m  #MACHINE GUN POSITION
MACHNGN2 -0.245m 0.33m  2.02m  #MACHINE GUN POSITION

REM 20mm x 1
MACHNGN3  0.00m 0.00m  3.15m  #MACHINE GUN POSITION
MACHNGN4  0.00m 0.00m  3.15m  #MACHINE GUN POSITION

GUNPOWER 1
GUNINTVL 0.075

SMOKEGEN  0.0m -0.75m -1.70m  #SMOKE GENERATOR POSITION
VAPORPO0 4.895m -0.135m  -0.01m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 4.895m -0.135m  -0.01m  #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS  7m                #OUTSIDE SPHERE RADIUS

STRENGTH 7

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 575km/h              #CRITICAL SPEED
MAXSPEED 700km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.8                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 17.15m^2                #WING AREA

MXIPTAOA 22.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 75.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 43kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 77kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.

INITIGUN 580                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
GUNSIGHT FALSE

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 600km/h              #CRUISING SPEED
REFACRUS 8000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 70kt                 #LANDING SPEED
REFAOALD 8deg                #LANDING AOA
REFLNRWY 700m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.65                 #LANDING THROTTLE SETTING

AUTOCALC
