IDENTIFY "YX-38D_[I-ris_oranleed_ver.]"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 24.6t                #THRUST WITH AFTERBURNER
THRMILIT 21.6t                #THRUST AT MILITARY POWER
WEIGHCLN 14.8t                #WEIGHT CLEAN
WEIGFUEL  9.1t                #WEIGHT OF FUEL
WEIGLOAD  6.5t                #WEIGHT OF PAYLOAD
FUELABRN 3.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.25kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.90m  7.70m  #COCKPIT POSITION
LEFTGEAR -2.0m -2.10m -2.55m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.0m -2.10m -2.55m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.00m  3.35m  #WHEEL POSITION
MACHNGUN  0.86m 0.33m 3.18m  #MACHINE GUN POSITION
SMOKEGEN  0.0m -0.11m -11.20m  #SMOKE GENERATOR POSITION
VAPORPO1  7.60m 0.00m -7.20m  #VAPOR POSITION
VAPORPO0  7.10m -0.87m -7.20m #VAPOR POSITION 
HTRADIUS  15.0m               #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  22deg               #CRITICAL AOA POSITIVE
CRITAOAM -18deg               #CRITICAL AOA NEGATIVE

CRITSPED 1019km/h             #CRITICAL SPEED
MAXSPEED 4.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                #HAS VARIABLE GEOMETRY WING?


CLVARGEO -0.6                 #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 4.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 1.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 50m^2                #WING AREA

MXIPTAOA 30.0deg              #MAX INPUT AOA
MXIPTSSA 15.0deg              #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 9.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 6.0                  #PITCH STABILITY CONSTANT
CYAWMANE 7.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 6.0                  #YAW STABILITY CONSTANT
CROLLMAN 4.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 1.6MACH
VGWSPED2 2.0MACH


POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 2000                 #INITIAL GUN
INITIAAM 4                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB

MAXNMAAM 8
MAXNMAGM 4
MAXNBOMB 8

AAMSLOT_  0.28m -0.03m 0.20m
AAMSLOT_  -0.28m -0.03m 0.20m
AAMSLOT_  -0.28m -0.03m -2.76m
AAMSLOT_  0.28m -0.03m -2.76m
AAMSLOT_  0.28m -0.35m 0.20m
AAMSLOT_  -0.28m -0.35m 0.20m
AAMSLOT_  -0.28m -0.35m -2.76m
AAMSLOT_  0.28m -0.35m -2.76m


AGMSLOT_  0.28m -0.35m 0.20m
AGMSLOT_  -0.28m -0.35m 0.20m
AGMSLOT_  -0.28m -0.35m -2.76m
AGMSLOT_  0.28m -0.35m -2.76m


BOMBSLOT 0.28m -0.35m 0.20m
BOMBSLOT  -0.28m -0.35m 0.20m
BOMBSLOT  -0.28m -0.35m -2.76m
BOMBSLOT  0.28m -0.35m -2.76m
BOMBSLOT  0.28m -0.03m 0.20m
BOMBSLOT  -0.28m -0.03m 0.20m
BOMBSLOT  -0.28m -0.03m -2.76m
BOMBSLOT  0.28m -0.03m -2.76m



REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 4.0MACH              #CRUISING SPEED
REFACRUS 32000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 140kt              #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1300m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
