REM F-14 TOMCAT
IDENTIFY "F-14A_TOMCAT_[ver.flowv]"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 18.9t                #THRUST WITH AFTERBURNER
THRMILIT 11.0t                #THRUST AT MILITARY POWER
WEIGHCLN 18.0t                #WEIGHT CLEAN
WEIGFUEL  9.0t                #WEIGHT OF FUEL
WEIGLOAD  6.5t                #WEIGHT OF PAYLOAD
FUELABRN 12.2kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.95kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.73m   6.13m  #COCKPIT POSITION
LEFTGEAR -2.67m -2.25m -1.70m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.67m -2.25m -1.70m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.16m  5.25m  #WHEEL POSITION
MACHNGUN -0.61m -0.81m  8.01m  #MACHINE GUN POSITION
ARRESTER  0.00m -1.75m -7.75m  #ARRESTING HOOK
SMOKEGEN  0.0m -0.11m -7.78m  #SMOKE GENERATOR POSITION
VAPORPO0  6.05m  0.46m -6.77m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  9.92m  0.43m -3.99m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8.00m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 3

CRITAOAP  22deg               #CRITICAL AOA POSITIVE
CRITAOAM -7deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.3MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.6                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 1.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 52.5m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 180.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 450kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.5                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 4.3                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT -3.36m -0.07m 0.20m AIM9
HRDPOINT 3.36m -0.07m 0.20m AIM9
HRDPOINT -2.86m -0.48m 0.48m AGM65 AIM9 
HRDPOINT 2.86m -0.48m 0.48m AGM65 AIM9 
HRDPOINT -0.35m -1.00m 1.18m AGM65
HRDPOINT 0.35m -1.00m 1.18m AGM65
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 670                  #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

MAXNMAAM 4
MAXNMAGM 4

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 100kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.6                  #LANDING THROTTLE SETTING

AUTOCALC
