REM SU-27 FLANKER
IDENTIFY "SU-27UB_FLANKER_[ver.f]"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 25.0t                #THRUST WITH AFTERBURNER
THRMILIT 15.2t                #THRUST AT MILITARY POWER
WEIGHCLN 17.7t                #WEIGHT CLEAN
WEIGFUEL  7.0t                #WEIGHT OF FUEL
WEIGLOAD  8.2t                #WEIGHT OF PAYLOAD
FUELABRN 12.5kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.85kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.80m  5.37m   #COCKPIT POSITION
LEFTGEAR -2.53m -1.71m -2.80m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.53m -1.71m -2.80m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.62m  2.92m   #WHEEL POSITION
MACHNGUN  1.32m  0.84m  1.93m  #MACHINE GUN POSITION
SMOKEGEN -0.0m -0.00m -10.6m   #SMOKE GENERATOR POSITION
VAPORPO0  7.27m  0.54m -6.11m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  7.27m  0.54m -6.11m  #VAPOR POSITION (Wings Spread)
HTRADIUS 8.0m                  #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 3

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 350kt                #CRITICAL SPEED
MAXSPEED 1.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 62m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 190.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 70kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 130kt                #FULLY MANEUVABLE SPEED
CPITMANE 9.7                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.6                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.8                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 2
INITIGUN 150                  #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
MAXNMAAM 6
MAXNMAGM 2

AAMSLOT_ 7.32m 0.33m -4.00m
AAMSLOT_ -7.32m 0.33m -4.00m
AAMSLOT_ 5.85m 0.15m -4.00m
AAMSLOT_ -5.85m 0.15m -4.00m
AAMSLOT_ 4.40m 0.05m -3.00m
AAMSLOT_ -4.40m 0.05m -3.00m

AGMSLOT_ 0.00m 0.00m -0.50m
AGMSLOT_ 0.00m 0.00m -5.00m


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
