REM A6M Zero
IDENTIFY "A6M2_model_21_{tf58}"
CATEGORY WW2FIGHTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 940HP               #PROPELLER ENGINE
PROPEFCY 0.65                 #Propeller efficiency
WEIGHCLN  3704lb                #WEIGHT CLEAN
WEIGFUEL  1348lb                #WEIGHT OF FUEL
WEIGLOAD  300lb                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.1kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP 0.0m  0.90m  -0.75m   #COCKPIT POSITION
INSTPANL user/tf58/DownInFlames/a6m.ist
LEFTGEAR -1.69m -1.81m 0.52m   #LEFT LANDING GEAR POSITION
RIGHGEAR  1.69m -1.81m 0.52m   #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -0.41m -5.97m   #WHEEL POSITION
ARRESTER  0.0m -0.93m -5.15m
MACHNGUN  1.96m  -0.24m  0.70m  #MACHINE GUN POSITION
MACHNGN2 -1.96m  -0.24m  0.70m  #MACHINE GUN POSITION
MACHNGN3  0.24m   0.53m  1.07m  #MACHINE GUN POSITION
MACHNGN4 -0.24m   0.53m  1.07m  #MACHINE GUN POSITION
SMOKEGEN -0.28m  -0.53m  1.00m  #SMOKE GENERATOR POSITION
VAPORPO0  5.95m  0.14m  -0.57m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.95m  0.14m  -0.57m  #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS  7.50m                #OUTSIDE SPHERE RADIUS
GUNSIGHT FALSE

STRENGTH 15

CRITAOAP   20deg               #CRITICAL AOA POSITIVE
CRITAOAM  -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 350kt               #CRITICAL SPEED
MAXSPEED 450kt               #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                #HAS VARIABLE GEOMETRY WING?

VGWSPED1 100kt
VGWSPED2 250kt

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.25                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.6                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.7                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 22.44m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 50.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 50kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 90kt                 #FULLY MANEUVABLE SPEED
CPITMANE 10.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 6.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 6.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 200lb                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

WEAPONCH GUN

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint
GUNPOWER 2
INITIGUN 260                 #INITIAL GUN
GUNINTVL 0.105263


RADARCRS 0.8

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 287kt              #CRUISING SPEED
REFACRUS 14700ft              #CRUISING ALTITUDE
REFTCRUS 0.9                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 65kt                 #LANDING SPEED
REFAOALD 6.0deg                 #LANDING AOA
REFLNRWY 200m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.75                  #LANDING THROTTLE SETTING



AUTOCALC
