IDENTIFY FFG_7(SLOW)
HTRADIUS 80m
STRENGTH 80
INITIGUN 5000
INITISAM 64
INITCANO 300
MAXSPEED 22kt
MAXROTAT 3deg
MINAIMPI 0deg
MAXAIMPI 0deg
CARRIER user/tf58/ground/ffg7.acp
MINIDAMG 3
GRNDTYPE NAVYSHIP

SPLYFUEL TRUE
SPLYAMMO TRUE

ANTIGRND TRUE

AIMROTAT 240deg
AIMPITCH 240deg

GUNRANGE 800m
AAAMINPI -3deg
AAAMAXPI 30deg
AAAMOUNT 0m 11.5m -40.0m

SAMRANGE 8000m
SAMMINPI 30deg
SAMMAXPI 90deg
SAMMOUNT 0m 7.0m 34.4m

CANRANGE 3000m
CANMINPI 0deg
CANMAXPI 20deg
CANMOUNT 0m 11.15m -13.7m


