REM BOEING 747
IDENTIFY "B747-406(no_cdu)_KLM"
CATEGORY NORMAL
AFTBURNR FALSE               #HAVE AFTERBURNER?
THRAFTBN 0.0t                #THRUST WITH AFTERBURNER
THRMILIT 248400lb               #THRUST AT MILITARY POWER  PW4062: 253200 CF6: 248400 RB211: 238000
THRSTREV 0.35                 #EFFICIENCY OF THRUST REVERSER
WEIGHCLN 397000lb                #WEIGHT CLEAN
WEIGFUEL 389000lb                #WEIGHT OF FUEL
WEIGLOAD 189000lb                 #WEIGHT OF PAYLOAD
FUELABRN 0.00lb               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 6.67lb               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.52m  3.33m  28.83m  #COCKPIT POSITION
EXCAMERA "CO-PILOT" 0.52m  3.33m  28.83m 0deg 0deg 0deg INSIDE
EXCAMERA "JUMPSEAT" 0.20m  3.33m  28.00m 0deg 0deg 0deg INSIDE
EXCAMERA "CDU_CAPT" -0.185m  2.89m  29.43m 0deg -55deg 0deg INSIDE
EXCAMERA "CDU_FO" 0.185m  2.89m  29.43m 0deg -55deg 0deg INSIDE
EXCAMERA "CDU_COMMON" 0.00m  2.81m  28.86m 0deg -60deg 0deg INSIDE
EXCAMERA "CABIN" 2.9m 0.42m -3.22m -90deg 0deg 0deg INSIDE
LEFTGEAR -5.75m -5.40m -0.60m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.75m -5.40m -0.60m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -5.40m 27.28m  #WHEEL POSITION
ARRESTER  0.0m -3.30m -16.00m
MACHNGUN -0.0m -0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.60m -35.50m    #SMOKE GENERATOR POSITION
VAPORPO0 32.40m  2.00m -15.40m  #VAPOR POSITION (Wings Swept back)
VAPORPO1 32.40m  2.00m -15.40m  #VAPOR POSITION (Wings Spread)
HTRADIUS 50.00m                #OUTSIDE SPHERE RADIUS


STRENGTH 25

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -8deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.78MACH              #CRITICAL SPEED
MAXSPEED 0.88MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                #HAS VARIABLE GEOMETRY WING?
VRGMNOSE TRUE


VGWSPED1 241kt
VGWSPED2 240kt

CLVARGEO 0.3                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.2                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.5                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.4                  #EFFECT OF SPOILER FOR Cd

TRSTVCTR FALSE                 #HAS THRUST VECTORING CAPABILITY?

WINGAREA 525m^2                #WING AREA

MXIPTAOA 12.0deg              #MAX INPUT AOA
MXIPTSSA 4.2deg               #MAX INPUT SSA
MXIPTROL 30deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 90kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 140kt                #FULLY MANEUVABLE SPEED
CPITMANE 3.2                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.0                  #PITCH STABILITY CONSTANT
CYAWMANE 4.2                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 85%                   #INITIAL FUEL
INITLOAD 120000lb                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.84MACH              #CRUISING SPEED
REFACRUS 35000ft              #CRUISING ALTITUDE
REFTCRUS 0.91                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 155kt                 #LANDING SPEED
REFAOALD 6deg                 #LANDING AOA
REFLNRWY 2200m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.73                  #LANDING THROTTLE SETTING

AUTOCALC
