IDENTIFY "F-80C_ShootingStar_FT-677_80FBS/8FBW"
CATEGORY FIGHTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  5400lb                #THRUST WITH AFTERBURNER
THRMILIT  5400lb                #THRUST AT MILITARY POWER
WEIGHCLN  8419lb                #WEIGHT CLEAN
WEIGFUEL  9417lb                #WEIGHT OF FUEL
WEIGLOAD  300lb                #WEIGHT OF PAYLOAD
FUELABRN 0.1kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.30kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.00m  1.35m  #COCKPIT POSITION
INSTPANL user/tf58/p80.ist
LEFTGEAR -1.5m -1.35m -0.39m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.5m -1.35m -0.39m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.54m  3.27m  #WHEEL POSITION
ARRESTER  0.0m -1.73m -0.85m  #Arresting hook
MACHNGUN  0.09m  -0.01m  4.89m  #MACHINE GUN POSITION
MACHNGN2 -0.09m  -0.01m  4.89m  #MACHINE GUN POSITION
MACHNGN3  0.17m  -0.18m  4.51m  #MACHINE GUN POSITION
MACHNGN4 -0.17m  -0.18m  4.51m  #MACHINE GUN POSITION
MACHNGN5  0.30m -0.01m  4.18m  #MACHINE GUN POSITION
MACHNGN6 -0.30m -0.01m  4.18m  #MACHINE GUN POSITION
GUNINTVL  0.09
GUNSIGHT  FALSE
SMOKEGEN -0.0m  0.30m -6.00m  #SMOKE GENERATOR POSITION
VAPORPO0  5.95m -0.13m -0.00m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.95m -0.13m -0.00m #VAPOR POSITION (Wings Spread)
HTRADIUS  7.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 10

CRITAOAP  22deg               #CRITICAL AOA POSITIVE
CRITAOAM -13deg               #CRITICAL AOA NEGATIVE

CRITSPED 450kt            #CRITICAL SPEED
MAXSPEED 530kt            #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.8                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 22.1m^2              #WING AREA

MXIPTAOA 23.5deg              #MAX INPUT AOA
MXIPTSSA 7.0deg               #MAX INPUT SSA
MXIPTROL 80.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 55kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 75kt                 #FULLY MANEUVABLE SPEED
CPITMANE 7.2                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 6.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 1ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.

WEAPONCH GUN

HRDPOINT  4.51m -0.40m 0.05m RKT
HRDPOINT  -4.51m -0.40m 0.05m RKT
HRDPOINT  4.21m -0.42m 0.05m RKT
HRDPOINT  -4.21m -0.42m 0.05m RKT
HRDPOINT  3.91m -0.44m 0.05m RKT
HRDPOINT  -3.91m -0.44m 0.05m RKT
HRDPOINT  3.61m -0.46m 0.05m RKT
HRDPOINT  -3.61m -0.46m 0.05m RKT
HRDPOINT  3.11m -0.74m 0.00m B250 B500
HRDPOINT -3.11m -0.74m 0.00m B250 B500

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 2000                  #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 2
INITRCKT 8
MAXNBOMB 2
MAXNMRKT 8                   #MAX ROCKET (10kg/each)


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 521kt              #CRUISING SPEED
REFACRUS 22000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                #LANDING SPEED
REFAOALD 8deg                #LANDING AOA
REFLNRWY 500m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING


AUTOCALC
