REM GACGLIMT 5
REM GACRADRG 0
REM GACRADCS 1.8
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 0
REM GACLNDNV 0
REM GACLIMIT 0

IDENTIFY "H-5B_Romania"
CATEGORY ATTACKER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
THRMILIT  5.3t                #THRUST AT MILITARY POWER
WEIGHCLN 12.9t                #WEIGHT CLEAN
WEIGFUEL  4.5t                #WEIGHT OF FUEL
WEIGLOAD  3.0t                #WEIGHT OF PAYLOAD
FUELMILI 0.5kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNSIGHT FALSE

COCKPITP  0m  1.205m   5.49m  #COCKPIT POSITION
EXCAMERA "GUNNER" 0.00m  1.25m  -9.95m 180deg 0deg 0deg INSIDE
LEFTGEAR -4.70m -2.75m -0.95m  #LEFT LANDING GEAR POSITION
RIGHGEAR  4.70m -2.75m -0.95m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.95m  6.85m  #WHEEL POSITION
ARRESTER  0.0m -1.00m 9.00m
MACHNGUN  -0.65m -0.60m  8.0m  #MACHINE GUN POSITION
MACHNGN2  0.65m -0.60m  8.0m  #MACHINE GUN POSITION
SMOKEGEN 0.0m 0.85m -11.00m  #SMOKE GENERATOR POSITION
VAPORPO0  12.50m  0.51m -1.63m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  12.50m  0.51m -1.63m  #VAPOR POSITION (Wings Spread)
HTRADIUS  14.3m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 14

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 770km/h              #CRITICAL SPEED
MAXSPEED 876km/h              #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.4                  #EFFECT OF SPOILER FOR Cd

WINGAREA 60.8m^2                #WING AREA

MXIPTAOA 24.0deg              #MAX INPUT AOA
MXIPTSSA 6.0deg               #MAX INPUT SSA
MXIPTROL 60.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 270kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.11                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 3.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
