IDENTIFY "J-7E_AUGUST_1ST_(NEW_SCHEME)"
CATEGORY AEROBATIC
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  6645kg                #THRUST WITH AFTERBURNER
THRMILIT  4497kg                #THRUST AT MILITARY POWER
WEIGHCLN  5292kg                #WEIGHT CLEAN
WEIGFUEL  2000kg                #WEIGHT OF FUEL
WEIGLOAD  2.5t                #WEIGHT OF PAYLOAD
FUELABRN 3.67kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.35kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNINTVL 0.066

COCKPITP  0.0m  0.80m  3.0m  #COCKPIT POSITION
LEFTGEAR -1.36m -1.50m -0.85m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.36m -1.50m -0.85m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.50m  3.935m  #WHEEL POSITION
ARRESTER  0.0m -1m -5.1m
MACHNGUN  0.355m  -0.39m  2.235m  #MACHINE GUN POSITION
MACHNGN2  -0.355m  -0.39m  2.235m  #MACHINE GUN POSITION
SMOKEGEN -0.0m  0.65m -6.6m  #SMOKE GENERATOR POSITION
VAPORPO0  4.16m  -0.04m -2.65m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.16m  -0.04m -2.65m  #VAPOR POSITION (Wings Spread)
HTRADIUS  9.8m                #OUTSIDE SPHERE RADIUS

SMOKEOIL 100.0kg
WEAPONCH SMK

STRENGTH 8

CRITAOAP  32.00deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.0MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd (2.0 for all 3, 1.2 for forwards only)

WINGAREA 24.88m^2                #WING AREA

MXIPTAOA 30.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 330.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.90                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.2                 #PITCH STABILITY CONSTANT
CYAWMANE 7.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 6.5                  #YAW STABILITY CONSTANT
CROLLMAN 6.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

MAXNMAAM 999
MAXNMAGM 999
MAXNBOMB 999
MAXNMRKT 38

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 0                 #INITIAL GUN

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 900kt              #CRUISING SPEED
REFACRUS 35000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 8deg                #LANDING AOA
REFLNRWY 900m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.6                  #LANDING THROTTLE SETTING

AUTOCALC
