IDENTIFY "PzKpfw_III_Ausf_H"
CATEGORY UTILITY
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 265HP               #PROPELLER ENGINE
WEIGHCLN 22t                #WEIGHT CLEAN
WEIGFUEL 400lb                #WEIGHT OF FUEL
WEIGLOAD  800kg                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.011kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNSIGHT FALSE
THRSTREV 0.6                 #EFFICIENCY OF THRUST REVERSER

GUNDIREC  0.0m -0.01m 1.0m     #MACHINE GUN DIRECTION
PROPEFCY 2                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid

COCKPITP  -0.44m  0.42m  1.53m  #COCKPIT POSITION
EXCAMERA "commander" 0.00m 2.20m -0.30m 0deg 0deg 0deg INSIDE
INSTPANL user/tf58/m3_ht.ist
LEFTGEAR -1.45m -1.00m -1.75m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.45m -1.00m -1.75m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.00m  1.20m  #WHEEL POSITION
ARRESTER  0.0m 0m 0m
MACHNGUN  0.00m 0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN 0.00m 0.6m -2.5m  #SMOKE GENERATOR POSITION
VAPORPO0  1.45m -1.00m -1.20m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  1.45m -1.00m -1.20m  #VAPOR POSITION (Wings Spread)
HTRADIUS  4.5m                #OUTSIDE SPHERE RADIUS

RADARCRS 0.30                  #RADAR CROSS SECTION

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m -0.5m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m -0.5m 1.0m       #Thrust vector 1
PSTMPTCH 1deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 13deg                #Post-Stall Maneuver VYaw
PSTMROLL 1deg                #Post-Stall Maneuver VRoll

TRIGGER1 GUN
TRIGGER2 SMK
TRIGGER3 AGM
TRIGGER4 AAM
SMOKEOIL 1.0kg

STRENGTH 20

CRITAOAP  1deg               #CRITICAL AOA POSITIVE
CRITAOAM -1deg               #CRITICAL AOA NEGATIVE

CRITSPED 33km/h              #CRITICAL SPEED
MAXSPEED 40km/h              #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
